<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190730;000100;108.7830000;108.7830000;108.7600000;108.7800000;33
20190730;000200;108.7710000;108.7800000;108.7610000;108.7800000;20
20190730;000300;108.7780000;108.7820000;108.7680000;108.7800000;44
20190730;000400;108.7780000;108.7830000;108.7700000;108.7780000;26
20190730;000500;108.7780000;108.7830000;108.7700000;108.7780000;23
20190730;000600;108.7780000;108.7830000;108.7640000;108.7820000;62
20190730;000700;108.7750000;108.7830000;108.7660000;108.7800000;1342
20190730;000800;108.7780000;108.7810000;108.7660000;108.7700000;1429
20190730;000900;108.7720000;108.7830000;108.7660000;108.7800000;1675
20190730;001000;108.7730000;108.7820000;108.7400000;108.7700000;560
20190730;001100;108.7690000;108.7800000;108.7600000;108.7690000;234
20190730;001200;108.7690000;108.7800000;108.7600000;108.7760000;340
20190730;001300;108.7750000;108.7760000;108.7600000;108.7690000;166
20190730;001400;108.7690000;108.7760000;108.7600000;108.7700000;373
20190730;001500;108.7710000;108.7760000;108.7600000;108.7670000;215
20190730;001600;108.7670000;108.7800000;108.7600000;108.7700000;294
20190730;001700;108.7710000;108.7800000;108.7600000;108.7710000;332
20190730;001800;108.7710000;108.7900000;108.7500000;108.7750000;363
20190730;001900;108.7750000;108.7900000;108.7700000;108.7840000;997
20190730;002000;108.7760000;108.7900000;108.7700000;108.7750000;894
20190730;002100;108.7840000;108.7890000;108.7700000;108.7700000;1462
20190730;002200;108.7870000;108.7890000;108.7700000;108.7870000;1413
20190730;002300;108.7860000;108.8010000;108.7600000;108.7880000;1932
20190730;002400;108.7920000;108.8010000;108.7700000;108.7980000;1183
20190730;002500;108.7830000;108.8070000;108.7700000;108.7800000;2418
20190730;002600;108.7940000;108.8060000;108.7800000;108.7800000;5395
20190730;002700;108.7800000;108.8100000;108.7800000;108.7890000;3207
20190730;002800;108.7880000;108.8060000;108.7680000;108.7900000;3492
20190730;002900;108.7990000;108.8030000;108.7690000;108.7810000;5234
20190730;003000;108.7890000;108.8040000;108.7670000;108.7920000;4895
20190730;003100;108.7900000;108.8100000;108.7700000;108.7980000;4170
20190730;003200;108.7980000;108.8110000;108.7800000;108.8040000;4510
20190730;003300;108.7920000;108.8110000;108.7860000;108.7960000;2938
20190730;003400;108.8020000;108.8100000;108.7800000;108.7950000;617
20190730;003500;108.7900000;108.8070000;108.7900000;108.8000000;449
20190730;003600;108.7930000;108.8050000;108.7800000;108.7990000;364
20190730;003700;108.7990000;108.8040000;108.7800000;108.7980000;238
20190730;003800;108.7980000;108.8050000;108.7800000;108.8000000;318
20190730;003900;108.8000000;108.8040000;108.7800000;108.7990000;166
20190730;004000;108.7990000;108.8070000;108.7800000;108.7950000;704
20190730;004100;108.8010000;108.8160000;108.7800000;108.8090000;809
20190730;004200;108.8090000;108.8150000;108.8000000;108.8110000;481
20190730;004300;108.8100000;108.8200000;108.8000000;108.8110000;781
20190730;004400;108.8130000;108.8200000;108.8000000;108.8120000;635
20190730;004500;108.8120000;108.8200000;108.8000000;108.8130000;801
20190730;004600;108.8130000;108.8250000;108.8000000;108.8130000;1436
20190730;004700;108.8180000;108.8220000;108.8000000;108.8220000;1324
20190730;004800;108.8160000;108.8450000;108.7900000;108.8320000;1726
20190730;004900;108.8320000;108.8410000;108.8060000;108.8180000;3021
20190730;005000;108.8220000;108.8400000;108.7900000;108.8220000;1560
20190730;005100;108.8290000;108.8330000;108.8000000;108.8220000;390
20190730;005200;108.8230000;108.8320000;108.8100000;108.8280000;1373
20190730;005300;108.8260000;108.8320000;108.8180000;108.8280000;915
20190730;005400;108.8240000;108.8320000;108.8100000;108.8200000;1366
20190730;005500;108.8250000;108.8300000;108.8100000;108.8230000;1994
20190730;005600;108.8200000;108.8310000;108.7900000;108.8250000;2352
20190730;005700;108.8100000;108.8270000;108.8100000;108.8260000;1946
20190730;005800;108.8100000;108.8300000;108.8100000;108.8100000;1450
20190730;005900;108.8160000;108.8300000;108.8100000;108.8180000;1407
20190730;010000;108.8200000;108.8300000;108.8100000;108.8250000;1142
20190730;010100;108.8150000;108.8260000;108.7700000;108.8060000;1905
20190730;010200;108.8060000;108.8130000;108.7900000;108.7980000;536
20190730;010300;108.8040000;108.8380000;108.7700000;108.8250000;904
20190730;010400;108.8290000;108.8300000;108.7900000;108.8280000;408
20190730;010500;108.8220000;108.8300000;108.8100000;108.8100000;278
20190730;010600;108.8190000;108.8260000;108.8100000;108.8150000;227
20190730;010700;108.8150000;108.8300000;108.8100000;108.8230000;418
20190730;010800;108.8230000;108.8300000;108.8100000;108.8230000;187
20190730;010900;108.8230000;108.8290000;108.8100000;108.8200000;253
20190730;011000;108.8210000;108.8270000;108.7800000;108.8130000;299
20190730;011100;108.8130000;108.8220000;108.7900000;108.8160000;225
20190730;011200;108.8170000;108.8210000;108.7800000;108.8160000;107
20190730;011300;108.8160000;108.8190000;108.8000000;108.8100000;346
20190730;011400;108.8040000;108.8310000;108.7900000;108.8220000;644
20190730;011500;108.8220000;108.8260000;108.7800000;108.8160000;282
20190730;011600;108.8150000;108.8260000;108.7900000;108.8150000;471
20190730;011700;108.8000000;108.8180000;108.7800000;108.8150000;459
20190730;011800;108.8150000;108.8180000;108.8000000;108.8130000;295
20190730;011900;108.8150000;108.8190000;108.8080000;108.8160000;256
20190730;012000;108.8160000;108.8220000;108.8080000;108.8170000;320
20190730;012100;108.8170000;108.8230000;108.7900000;108.8230000;234
20190730;012200;108.8210000;108.8230000;108.8100000;108.8200000;138
20190730;012300;108.8200000;108.8230000;108.7800000;108.8160000;465
20190730;012400;108.8160000;108.8230000;108.7900000;108.8190000;382
20190730;012500;108.8210000;108.8310000;108.7900000;108.8200000;460
20190730;012600;108.8190000;108.8240000;108.8100000;108.8210000;257
20190730;012700;108.8210000;108.8240000;108.8100000;108.8200000;170
20190730;012800;108.8200000;108.8240000;108.7800000;108.8180000;246
20190730;012900;108.8210000;108.8220000;108.7900000;108.8160000;275
20190730;013000;108.8150000;108.8190000;108.7800000;108.8150000;101
20190730;013100;108.8160000;108.8200000;108.8090000;108.8150000;156
20190730;013200;108.8150000;108.8180000;108.8000000;108.8110000;147
20190730;013300;108.8110000;108.8140000;108.7900000;108.8090000;307
20190730;013400;108.8090000;108.8130000;108.8000000;108.8120000;375
20190730;013500;108.8090000;108.8240000;108.8000000;108.8190000;572
20190730;013600;108.8160000;108.8200000;108.7900000;108.8180000;522
20190730;013700;108.8160000;108.8200000;108.7800000;108.8100000;384
20190730;013800;108.8130000;108.8210000;108.7900000;108.8160000;713
