<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20190730;000100;5.6123000;5.6138000;5.6110000;5.6137000;8
20190730;000200;5.6140000;5.6140000;5.6096000;5.6101000;4
20190730;000300;5.6096000;5.6140000;5.6096000;5.6097000;15
20190730;000400;5.6140000;5.6140000;5.6100000;5.6138000;6
20190730;000500;5.6099000;5.6139000;5.6077000;5.6097000;13
20190730;000600;5.6097000;5.6099000;5.6057000;5.6081000;9
20190730;000700;5.6059000;5.6100000;5.6053000;5.6100000;14
20190730;000800;5.6099000;5.6099000;5.6052000;5.6056000;11
20190730;000900;5.6099000;5.6141000;5.6050000;5.6140000;16
20190730;001000;5.6050000;5.6138000;5.6050000;5.6099000;7
20190730;001100;5.6086000;5.6146000;5.6050000;5.6140000;11
20190730;001200;5.6099000;5.6100000;5.6099000;5.6100000;9
20190730;001300;5.6104000;5.6147000;5.6099000;5.6144000;13
20190730;001400;5.6100000;5.6143000;5.6078000;5.6099000;9
20190730;001500;5.6099000;5.6140000;5.6078000;5.6099000;14
20190730;001600;5.6066000;5.6141000;5.6066000;5.6141000;3
20190730;001700;5.6067000;5.6099000;5.6067000;5.6099000;6
20190730;001800;5.6078000;5.6099000;5.6078000;5.6099000;6
20190730;001900;5.6142000;5.6145000;5.6099000;5.6099000;10
20190730;002000;5.6091000;5.6099000;5.6091000;5.6099000;5
20190730;002200;5.6099000;5.6099000;5.6099000;5.6099000;9
20190730;002300;5.6099000;5.6140000;5.6058000;5.6080000;23
20190730;002400;5.6099000;5.6142000;5.6056000;5.6099000;18
20190730;002500;5.6078000;5.6137000;5.6078000;5.6137000;7
20190730;002600;5.6137000;5.6137000;5.6099000;5.6099000;5
20190730;002700;5.6137000;5.6137000;5.6099000;5.6137000;6
20190730;002800;5.6137000;5.6137000;5.6099000;5.6099000;10
20190730;002900;5.6099000;5.6141000;5.6058000;5.6137000;20
20190730;003000;5.6137000;5.6151000;5.6137000;5.6141000;7
20190730;003100;5.6138000;5.6147000;5.6060000;5.6101000;55
20190730;003200;5.6101000;5.6147000;5.6062000;5.6102000;11
20190730;003300;5.6101000;5.6145000;5.6101000;5.6140000;14
20190730;003400;5.6101000;5.6101000;5.6101000;5.6101000;4
20190730;003500;5.6101000;5.6142000;5.6101000;5.6101000;7
20190730;003600;5.6101000;5.6148000;5.6065000;5.6102000;24
20190730;003700;5.6102000;5.6151000;5.6063000;5.6142000;26
20190730;003800;5.6141000;5.6143000;5.6101000;5.6143000;10
20190730;003900;5.6102000;5.6148000;5.6102000;5.6142000;12
20190730;004000;5.6101000;5.6146000;5.6070000;5.6142000;17
20190730;004100;5.6141000;5.6143000;5.6101000;5.6137000;8
20190730;004200;5.6063000;5.6143000;5.6058000;5.6143000;19
20190730;004300;5.6133000;5.6137000;5.6089000;5.6101000;9
20190730;004400;5.6142000;5.6146000;5.6059000;5.6099000;67
20190730;004500;5.6099000;5.6145000;5.6068000;5.6101000;31
20190730;004600;5.6101000;5.6147000;5.6063000;5.6146000;24
20190730;004700;5.6101000;5.6145000;5.6062000;5.6145000;27
20190730;004800;5.6135000;5.6144000;5.6101000;5.6101000;12
20190730;004900;5.6141000;5.6145000;5.6065000;5.6098000;26
20190730;005000;5.6102000;5.6142000;5.6102000;5.6142000;7
20190730;005100;5.6103000;5.6146000;5.6101000;5.6145000;30
20190730;005200;5.6103000;5.6145000;5.6068000;5.6134000;35
20190730;005300;5.6104000;5.6145000;5.6069000;5.6115000;24
20190730;005400;5.6104000;5.6114000;5.6103000;5.6103000;9
20190730;005500;5.6103000;5.6116000;5.6077000;5.6116000;7
20190730;005600;5.6103000;5.6145000;5.6063000;5.6141000;28
20190730;005700;5.6123000;5.6146000;5.6063000;5.6063000;29
20190730;005800;5.6100000;5.6145000;5.6068000;5.6134000;33
20190730;005900;5.6145000;5.6145000;5.6071000;5.6100000;10
20190730;010000;5.6143000;5.6143000;5.6058000;5.6058000;30
20190730;010100;5.6099000;5.6144000;5.6075000;5.6098000;97
20190730;010200;5.6097000;5.6140000;5.6093000;5.6140000;24
20190730;010300;5.6140000;5.6144000;5.6075000;5.6106000;538
20190730;010400;5.6117000;5.6147000;5.6098000;5.6108000;91
20190730;010500;5.6111000;5.6164000;5.6105000;5.6163000;301
20190730;010600;5.6163000;5.6163000;5.6101000;5.6117000;355
20190730;010700;5.6108000;5.6163000;5.6097000;5.6120000;567
20190730;010800;5.6120000;5.6168500;5.6118000;5.6125000;626
20190730;010900;5.6139000;5.6171000;5.6120000;5.6166000;173
20190730;011000;5.6170000;5.6171000;5.6128000;5.6131000;60
20190730;011100;5.6171000;5.6172000;5.6130000;5.6134700;117
20190730;011200;5.6153000;5.6175000;5.6130000;5.6156000;540
20190730;011300;5.6146000;5.6176000;5.6133000;5.6157000;86
20190730;011400;5.6157000;5.6177000;5.6133000;5.6176000;60
20190730;011500;5.6157000;5.6184500;5.6133000;5.6133000;613
20190730;011600;5.6148000;5.6179000;5.6133000;5.6160000;86
20190730;011700;5.6160000;5.6180000;5.6134000;5.6179000;65
20190730;011800;5.6133000;5.6179000;5.6133000;5.6139800;121
20190730;011900;5.6160000;5.6179000;5.6134000;5.6135000;90
20190730;012000;5.6160000;5.6180000;5.6133000;5.6149000;89
20190730;012100;5.6160000;5.6185000;5.6135000;5.6143400;242
20190730;012200;5.6142000;5.6186000;5.6138000;5.6153000;445
20190730;012300;5.6165000;5.6185000;5.6133000;5.6133000;135
20190730;012400;5.6176000;5.6179000;5.6128000;5.6132000;867
20190730;012500;5.6151000;5.6182000;5.6129000;5.6179000;887
20190730;012600;5.6139000;5.6186000;5.6133000;5.6140100;278
20190730;012700;5.6158000;5.6182000;5.6136000;5.6160000;106
20190730;012800;5.6141000;5.6182000;5.6136000;5.6161000;75
20190730;012900;5.6182000;5.6183000;5.6138000;5.6161000;82
20190730;013000;5.6182000;5.6183000;5.6136000;5.6162000;76
20190730;013100;5.6162000;5.6185000;5.6138000;5.6144600;94
